Station;Date;Irradiance
WSLLAF;202201010000;0
WSLLAF;202201010010;0
WSLLAF;202201010020;0
WSLLAF;202201010030;0
WSLLAF;202201010040;0
WSLLAF;202201010050;0
WSLLAF;202201010100;0
WSLLAF;202201010110;0
WSLLAF;202201010120;0
WSLLAF;202201010130;0
WSLLAF;202201010140;0
WSLLAF;202201010150;0
WSLLAF;202201010200;0
WSLLAF;202201010210;0
WSLLAF;202201010220;0
WSLLAF;202201010230;0
WSLLAF;202201010240;0
WSLLAF;202201010250;0
WSLLAF;202201010300;0
WSLLAF;202201010310;0
WSLLAF;202201010320;0
WSLLAF;202201010330;0
WSLLAF;202201010340;0
WSLLAF;202201010350;0
WSLLAF;202201010400;0
WSLLAF;202201010410;0
WSLLAF;202201010420;0
WSLLAF;202201010430;0
WSLLAF;202201010440;0
WSLLAF;202201010450;0
WSLLAF;202201010500;0
WSLLAF;202201010510;0
WSLLAF;202201010520;0
WSLLAF;202201010530;0
WSLLAF;202201010540;0
WSLLAF;202201010550;0
WSLLAF;202201010600;0
WSLLAF;202201010610;0
WSLLAF;202201010620;0
WSLLAF;202201010630;0
WSLLAF;202201010640;0
WSLLAF;202201010650;0
WSLLAF;202201010700;1
WSLLAF;202201010710;2
WSLLAF;202201010720;4
WSLLAF;202201010730;7
WSLLAF;202201010740;12
WSLLAF;202201010750;40
WSLLAF;202201010800;53
WSLLAF;202201010810;53
WSLLAF;202201010820;101
WSLLAF;202201010830;119
WSLLAF;202201010840;144
WSLLAF;202201010850;168
WSLLAF;202201010900;181
WSLLAF;202201010910;193
WSLLAF;202201010920;224
WSLLAF;202201010930;243
WSLLAF;202201010940;258
WSLLAF;202201010950;274
WSLLAF;202201011000;288
WSLLAF;202201011010;300
WSLLAF;202201011020;309
WSLLAF;202201011030;316
WSLLAF;202201011040;326
WSLLAF;202201011050;331
WSLLAF;202201011100;337
WSLLAF;202201011110;340
WSLLAF;202201011120;341
WSLLAF;202201011130;344
WSLLAF;202201011140;343
WSLLAF;202201011150;337
WSLLAF;202201011200;336
WSLLAF;202201011210;322
WSLLAF;202201011220;322
