Station;Date;Temperature
WSLLAF;202201010000;8.6
WSLLAF;202201010010;8.7
WSLLAF;202201010020;8.7
WSLLAF;202201010030;8.9
WSLLAF;202201010040;8.6
WSLLAF;202201010050;9.0
WSLLAF;202201010100;9.0
WSLLAF;202201010110;8.8
WSLLAF;202201010120;8.2
WSLLAF;202201010130;8.8
WSLLAF;202201010140;9.1
WSLLAF;202201010150;8.4
WSLLAF;202201010200;8.5
WSLLAF;202201010210;9.3
WSLLAF;202201010220;9.3
WSLLAF;202201010230;8.7
WSLLAF;202201010240;8.3
WSLLAF;202201010250;7.7
WSLLAF;202201010300;7.5
WSLLAF;202201010310;7.8
WSLLAF;202201010320;7.4
WSLLAF;202201010330;7.2
WSLLAF;202201010340;7.1
WSLLAF;202201010350;6.8
WSLLAF;202201010400;7.0
WSLLAF;202201010410;7.4
WSLLAF;202201010420;7.5
WSLLAF;202201010430;7.4
WSLLAF;202201010440;7.8
WSLLAF;202201010450;7.8
WSLLAF;202201010500;7.4
WSLLAF;202201010510;7.5
WSLLAF;202201010520;7.6
WSLLAF;202201010530;8.1
WSLLAF;202201010540;7.6
WSLLAF;202201010550;7.8
WSLLAF;202201010600;7.4
WSLLAF;202201010610;7.6
WSLLAF;202201010620;7.6
WSLLAF;202201010630;7.4
WSLLAF;202201010640;6.9
WSLLAF;202201010650;6.5
WSLLAF;202201010700;6.1
WSLLAF;202201010710;6.4
WSLLAF;202201010720;6.8
WSLLAF;202201010730;6.5
WSLLAF;202201010740;6.8
WSLLAF;202201010750;7.3
WSLLAF;202201010800;7.9
WSLLAF;202201010810;7.3
WSLLAF;202201010820;7.3
WSLLAF;202201010830;7.9
WSLLAF;202201010840;8.5
WSLLAF;202201010850;9.3
WSLLAF;202201010900;9.8
WSLLAF;202201010910;9.6
WSLLAF;202201010920;9.7
WSLLAF;202201010930;9.8
WSLLAF;202201010940;10.4
WSLLAF;202201010950;10.0
WSLLAF;202201011000;10.0
WSLLAF;202201011010;9.1
WSLLAF;202201011020;9.4
WSLLAF;202201011030;10.2
WSLLAF;202201011040;10.0
WSLLAF;202201011050;9.8
WSLLAF;202201011100;9.7
WSLLAF;202201011110;9.7
WSLLAF;202201011120;9.7
WSLLAF;202201011130;10.0
WSLLAF;202201011140;10.3
WSLLAF;202201011150;10.5
WSLLAF;202201011200;11.9
WSLLAF;202201011210;11.8
WSLLAF;202201011220;11.0
WSLLAF;202201011230;10.9
